"HP ProBook 450 G8 Intel Core i5-1135G7/8 GB/256GB SSD/15.6""",HP,ProBook,Intel Core i5,8,256,SSD,,15.6,No,739.01
"ASUS VivoBook 15 F1500EA-EJ3021 Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Asus,VivoBook,Intel Core i5,16,512,SSD,,15.6,No,709
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16 GB/512GB SSD/RTX3050Ti/15.6""",Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1059
"MSI Modern 14 C13M-447XES Intel Core i5-1335U/16GB/512GB SSD/14""",MSI,Modern,Intel Core i5,16,512,SSD,,14,No,799
"MSI Modern 14 C12M-017XES Intel Core i7-1255U/16GB/512GB SSD/14""",MSI,Modern,Intel Core i7,16,512,SSD,,14,No,999
"Lenovo IdeaPad 3 15ITL6 Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",Lenovo,IdeaPad,Intel Core i7,16,512,SSD,,15.6,No,899
"MSI Pulse 15 B13VGK-433XES Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/15.6""",MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4070,15.6,No,2299
MSI Stealth 15 A13VF-028XES Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/15.6'',MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,15.6,No,1899
"ASUS Chromebook CX1400FKA-EC0078 Intel Celeron N4500/8GB/64GB eMMC/14"" Táctil",Asus,Chromebook,Intel Celeron,8,64,eMMC,,14,Yes,449
"Lenovo V15 G2 ITL Intel Core i5-1135G7/16 GB/512GB SSD/15.6""",Lenovo,V15,Intel Core i5,16,512,SSD,,15.6,No,699
"ASUS Chromebook CX1400CNA-BV0210 Intel Celeron N3350/8GB/32GB/14""",Asus,Chromebook,Intel Celeron,8,32,,,14,No,349
"MSI Vector GP68HX 12VH-009XES Intel Core i9-12900HX/32GB/1TB SSD/RTX 4080/16""",MSI,Vector,Intel Core i9,32,1000,SSD,RTX 4080,16,No,2599
"HP 15S-fq5075ns Intel Core i5-1235U/8GB/512GB SSD/15.6""",HP,15S,Intel Core i5,8,512,SSD,,15.6,No,579.01
"Acer Aspire 3 A315-59-56GV Intel Core i5-1235U/8GB/512GB SSD/15.6""",Acer,Aspire,Intel Core i5,8,512,SSD,,15.6,No,749
"ASUS ExpertBook P1512CEA-EJ0083X Intel Core i3-1115G4/8GB/256GB SSD/15.6""",Asus,ExpertBook,Intel Core i3,8,256,SSD,,15.6,No,549
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,No,979
"ASUS ZenBook 14 OLED UM3402YA-KM513 AMD Ryzen 5 7530U/16GB/512GB SSD/14""",Asus,ZenBook,AMD Ryzen 5,16,512,SSD,,14,No,969
"Lenovo IdeaPad Gaming 3 15IAH7 Intel Core i5-12500H/16GB/512GB SSD/RTX3050/15.6""",Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,1099
"Lenovo Legion 5 15ITH6H Intel Core i5-11400H/16GB/512GB SSD/RTX3060/15.6""",Lenovo,Legion,Intel Core i5,16,512,SSD,RTX 3060,15.6,No,1319.01
"Lenovo IdeaPad Flex 5 14ALC05 AMD Ryzen 5 5500U/16GB/512GB SSD/14"" Táctil",Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,,14,Yes,799
"Apple MacBook Air Apple M1/8GB/256GB SSD/GPU Hepta Core/13.3"" Plata",Apple,MacBook Air,Apple M1,8,256,SSD,,13.3,No,1219
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512GB SSD/GTX1650/15.6""",Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,879
"MSI Prestige 14H B12UCX-427XES Intel Core i7-12650H/32GB/1TB SSD/RTX 2050/14""",MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 2050,14,No,1359
